건물번호,실개수,실높이합계,실둘레합계,실면적합계,벽개수합계,벽높이합계,벽길이합계,벽면적합계,바닥둘레합계,바닥면적합계,기둥개수,기둥길이합계,계단개수,계단단수합계,창호개수,창호면적합계,연면적,대지면적,건축면적,조경면적,층고,건물높이,지하층개수,지상층개수,시공기간,주차대수,총공사비,건축공사비,기계설비공사비,기타공사비,조경공사비,전기설비공사비,토목공사비,소방공사비,면적당총공사비,면적당건축공사비,면적당기계공사비,면적당기타공사비,면적당조경공사비,면적당전기공사비,면적당토목공사비,면적당소방공사비
297,147,351.13,3067.22,5357.79,231,943.35,1785.24,6427.76,1211.3,6280.6,177,444.15,9,212,225,984.12,4856.98,2200.6,1096.84,343.04,4.2,18.93,1,4,450,28,9723728052,4807375983,1723037492,814620301,126537749,1308165283,425804218,518187026,2002011.137,989787.0658,354754.9078,167721.5679,26052.76303,269337.1772,87668.51377,106689.1414
299,136,331.62,3602,5660.37,300,1076.9,2407.78,7942.43,1209.28,7407.94,0,0,14,276,186,604.85,3899.42,4774,951.65,716.1,3.6,14.846,2,4,365,40,11005518435,7969795797,150763443,412825894,253317368,1371959750,627467071,219389112,2822347.538,2043841.34,38663.04297,105868.5379,64962.83242,351836.8757,160912.9232,56261.98563
300,74,180.44,1546.75,2320.23,150,593.25,1057.15,3630.92,546.23,2725.31,0,0,4,96,106,361.68,1768.83,4102,661.01,615.3,3.9,13.6,1,3,365,69,4045568230,2604731204,295642176,316666722,0,533689760,180183694,114654674,2287143.609,1472572.946,167139.9603,179026.0918,0,301719.0798,101866.0323,64819.49876
301,68,165.81,1716.28,2467.67,112,407.28,1041.03,3232.45,803.9,3504.35,66,237.3,5,118,209,747.6,2519.61,18067,871.92,0,3.9,13.69,0,3,365,53,6572486165,3970225102,311996512,444808510,238918918,1167758562,291728240,147050321,2608533.132,1575730.015,123827.3034,176538.6349,94823.76955,463467.9819,115783.0934,58362.33425
303,71,173.13,1941.51,3243.53,191,837.3,1312.81,4808.71,628.57,3811.03,0,0,9,221,105,562.27,2426.39,2393,699.9,493.37,4,21.9,1,4,420,27,6909748318,4615169151,631771059,210009949,133929460,830139253,359071381,129658065,2847748.432,1902072.277,260374.9022,86552.42933,55197.0046,342129.358,147985.8477,53436.61365
304,50,121.92,1125.95,1672.51,129,475.2,785.4,2319.44,446.03,1943.32,0,0,5,110,104,379.01,1240.26,9597,459.91,0,3.9,13.65,0,3,180,4,2034084000,1779885000,0,0,0,151009000,68836000,34354000,1640046.442,1435090.223,0,0,0,121755.9221,55501.26586,27699.03085
305,67,163.37,1299.35,1843.93,150,563,898.82,3005.44,584.49,2561.78,0,0,7,154,137,382.05,1892.24,2129.3,465.61,322.98,4.5,16.1,1,4,540,40,3833733140,2224110945,348621627,125290847,0,660186639,323985558,151537524,2026029.013,1175385.229,184237.5317,66212.9788,0,348891.5988,171218.0051,80083.67015
309,64,149,1447,2113,122,499,791,2427,647,2267,0,0,5,125,116,781,1444.63,3307,567.95,0,3.9,12.55,0,3,240,41,4768249252,3272093406,182815828,273080914,78773436,536270055,243949302,181266311,3300671.627,2265004.469,126548.5474,189031.7341,54528.45088,371216.1972,168866.2855,125475.9426
414,72,175.56,1624.96,2813.67,129,537.6,1087.78,3814.46,686.72,2992.03,0,0,4,98,118,439.3,2524.38,285283.07,1314.74,0,4.5,13.75,1,2,360,19,5475340000,4420979000,0,0,0,753297000,221264000,79800000,2168984.067,1751312.798,0,0,0,298408.7182,87650.82911,31611.72248
415,82,199.95,2102.96,3713.8,150,627.65,1316.69,4707.34,721.43,3910.03,0,0,4,91,182,641.85,496.88,7103,270.81,0,4.8,10.6,0,2,135,0,877801590,680968000,0,0,0,161772000,15034000,20027590,1766626.932,1370487.844,0,0,0,325575.5917,30256.80245,40306.69377
